pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob
100000,0.005,Normal,Fast,0.0
100000,0.005,Normal,Moderate,0.0
100000,0.005,Normal,Slow,0.0
100000,0.005,Panic,Fast,0.0
100000,0.005,Panic,Moderate,0.0
100000,0.005,Panic,Slow,0.0
100000,0.01,Normal,Fast,0.0
100000,0.01,Normal,Moderate,0.03333333333333333
100000,0.01,Normal,Slow,0.2
100000,0.01,Panic,Fast,0.0
100000,0.01,Panic,Moderate,0.0
100000,0.01,Panic,Slow,0.0
100000,0.025,Normal,Fast,0.0
100000,0.025,Normal,Moderate,0.1
100000,0.025,Normal,Slow,1.0
100000,0.025,Panic,Fast,0.0
100000,0.025,Panic,Moderate,0.1
100000,0.025,Panic,Slow,0.0
100000,0.05,Normal,Fast,0.0
100000,0.05,Normal,Moderate,0.5666666666666667
100000,0.05,Normal,Slow,1.0
100000,0.05,Panic,Fast,0.0
100000,0.05,Panic,Moderate,0.5666666666666667
100000,0.05,Panic,Slow,0.7333333333333333
100000,0.1,Normal,Fast,0.0
100000,0.1,Normal,Moderate,0.9333333333333333
100000,0.1,Normal,Slow,1.0
100000,0.1,Panic,Fast,0.0
100000,0.1,Panic,Moderate,0.9
100000,0.1,Panic,Slow,1.0
1000000,0.005,Normal,Fast,0.0
1000000,0.005,Normal,Moderate,0.0
1000000,0.005,Normal,Slow,0.0
1000000,0.005,Panic,Fast,0.0
1000000,0.005,Panic,Moderate,0.0
1000000,0.005,Panic,Slow,0.0
1000000,0.01,Normal,Fast,0.0
1000000,0.01,Normal,Moderate,0.03333333333333333
1000000,0.01,Normal,Slow,0.2
1000000,0.01,Panic,Fast,0.0
1000000,0.01,Panic,Moderate,0.0
1000000,0.01,Panic,Slow,0.0
1000000,0.025,Normal,Fast,0.0
1000000,0.025,Normal,Moderate,0.1
1000000,0.025,Normal,Slow,1.0
1000000,0.025,Panic,Fast,0.0
1000000,0.025,Panic,Moderate,0.1
1000000,0.025,Panic,Slow,0.0
1000000,0.05,Normal,Fast,0.0
1000000,0.05,Normal,Moderate,0.5666666666666667
1000000,0.05,Normal,Slow,1.0
1000000,0.05,Panic,Fast,0.0
1000000,0.05,Panic,Moderate,0.5666666666666667
1000000,0.05,Panic,Slow,0.7333333333333333
1000000,0.1,Normal,Fast,0.0
1000000,0.1,Normal,Moderate,0.9333333333333333
1000000,0.1,Normal,Slow,1.0
1000000,0.1,Panic,Fast,0.0
1000000,0.1,Panic,Moderate,0.9
1000000,0.1,Panic,Slow,1.0
5000000,0.005,Normal,Fast,0.0
5000000,0.005,Normal,Moderate,0.0
5000000,0.005,Normal,Slow,0.0
5000000,0.005,Panic,Fast,0.0
5000000,0.005,Panic,Moderate,0.0
5000000,0.005,Panic,Slow,0.0
5000000,0.01,Normal,Fast,0.0
5000000,0.01,Normal,Moderate,0.03333333333333333
5000000,0.01,Normal,Slow,0.2
5000000,0.01,Panic,Fast,0.0
5000000,0.01,Panic,Moderate,0.0
5000000,0.01,Panic,Slow,0.0
5000000,0.025,Normal,Fast,0.0
5000000,0.025,Normal,Moderate,0.1
5000000,0.025,Normal,Slow,1.0
5000000,0.025,Panic,Fast,0.0
5000000,0.025,Panic,Moderate,0.1
5000000,0.025,Panic,Slow,0.0
5000000,0.05,Normal,Fast,0.0
5000000,0.05,Normal,Moderate,0.5666666666666667
5000000,0.05,Normal,Slow,1.0
5000000,0.05,Panic,Fast,0.0
5000000,0.05,Panic,Moderate,0.5666666666666667
5000000,0.05,Panic,Slow,0.7333333333333333
5000000,0.1,Normal,Fast,0.0
5000000,0.1,Normal,Moderate,0.9333333333333333
5000000,0.1,Normal,Slow,1.0
5000000,0.1,Panic,Fast,0.0
5000000,0.1,Panic,Moderate,0.9
5000000,0.1,Panic,Slow,1.0
10000000,0.005,Normal,Fast,0.0
10000000,0.005,Normal,Moderate,0.0
10000000,0.005,Normal,Slow,0.0
10000000,0.005,Panic,Fast,0.0
10000000,0.005,Panic,Moderate,0.0
10000000,0.005,Panic,Slow,0.0
10000000,0.01,Normal,Fast,0.0
10000000,0.01,Normal,Moderate,0.03333333333333333
10000000,0.01,Normal,Slow,0.2
10000000,0.01,Panic,Fast,0.0
10000000,0.01,Panic,Moderate,0.0
10000000,0.01,Panic,Slow,0.0
10000000,0.025,Normal,Fast,0.0
10000000,0.025,Normal,Moderate,0.1
10000000,0.025,Normal,Slow,1.0
10000000,0.025,Panic,Fast,0.0
10000000,0.025,Panic,Moderate,0.1
10000000,0.025,Panic,Slow,0.0
10000000,0.05,Normal,Fast,0.0
10000000,0.05,Normal,Moderate,0.5666666666666667
10000000,0.05,Normal,Slow,1.0
10000000,0.05,Panic,Fast,0.0
10000000,0.05,Panic,Moderate,0.5666666666666667
10000000,0.05,Panic,Slow,0.7333333333333333
10000000,0.1,Normal,Fast,0.0
10000000,0.1,Normal,Moderate,0.9333333333333333
10000000,0.1,Normal,Slow,1.0
10000000,0.1,Panic,Fast,0.0
10000000,0.1,Panic,Moderate,0.9
10000000,0.1,Panic,Slow,1.0
